TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
SEFFParameterTest,1,492,574,576,578
SEFFParameterTest,1,276,352,353,354
SEFFParameterTest,1,276,366,366,369
SEFFParameterTest,1,260,365,368,371
SEFFParameterTest,1,199,259,260,262
SEFFParameterTest,1,167,234,235,237
SEFFParameterTest,1,166,254,255,256
SEFFParameterTest,1,278,342,343,350
SEFFParameterTest,1,154,280,281,289
SEFFParameterTest,1,173,281,282,283
SEFFParameterTest,10,166,280,280,283
SEFFParameterTest,10,153,228,229,235
SEFFParameterTest,10,188,265,269,280
SEFFParameterTest,10,147,204,205,206
SEFFParameterTest,10,154,215,216,217
SEFFParameterTest,10,137,191,192,193
SEFFParameterTest,10,128,181,182,184
SEFFParameterTest,10,129,197,198,200
SEFFParameterTest,10,183,237,237,239
SEFFParameterTest,10,126,175,175,177
SEFFParameterTest,100,210,345,346,356
SEFFParameterTest,100,267,376,376,389
SEFFParameterTest,100,190,289,290,297
SEFFParameterTest,100,149,211,212,217
SEFFParameterTest,100,213,279,280,285
SEFFParameterTest,100,153,216,218,224
SEFFParameterTest,100,126,187,188,194
SEFFParameterTest,100,223,305,306,310
SEFFParameterTest,100,160,221,222,226
SEFFParameterTest,100,132,193,194,197
SEFFParameterTest,1000,295,490,491,593
SEFFParameterTest,1000,301,490,494,615
SEFFParameterTest,1000,259,542,543,618
SEFFParameterTest,1000,301,453,454,528
SEFFParameterTest,1000,253,405,406,480
SEFFParameterTest,1000,244,380,381,453
SEFFParameterTest,1000,205,354,355,445
SEFFParameterTest,1000,205,417,418,476
SEFFParameterTest,1000,190,342,342,411
SEFFParameterTest,1000,203,365,366,419
SEFFParameterTest,10000,1049,1770,1771,8920
SEFFParameterTest,10000,712,1358,1359,9968
SEFFParameterTest,10000,756,1767,1768,9518
SEFFParameterTest,10000,635,1330,1331,10143
SEFFParameterTest,10000,626,1394,1395,10202
SEFFParameterTest,10000,597,1375,1376,10035
SEFFParameterTest,10000,604,1329,1330,10114
SEFFParameterTest,10000,651,1514,1514,8304
SEFFParameterTest,10000,633,1603,1603,8672
SEFFParameterTest,10000,602,1522,1523,10216
SEFFParameterTest,100000,7607,12309,12310,2337151
SEFFParameterTest,100000,9145,14774,14775,2421699
SEFFParameterTest,100000,8466,14828,14829,2457312
SEFFParameterTest,100000,9373,16045,16047,2475818
SEFFParameterTest,100000,7425,14841,14843,2392381
SEFFParameterTest,100000,10098,18796,18798,2594210
SEFFParameterTest,100000,8589,17220,17222,2158417
SEFFParameterTest,100000,8691,17280,17283,2222249
SEFFParameterTest,100000,7280,17185,17187,2258073
SEFFParameterTest,100000,8735,19694,19696,2597213
